s_method,s_genre,s_rs,t_language,t_corpus,t_genre,LAS
GMM,news,rs41,Japanese,PUD,news,0.4149590163934426
GMM,news,rs41,Japanese,PUD,wiki,0.39103411795821214
GMM,news,rs41,Komi-Zyrian,IKDP,spoken,0.20961455175400606
GMM,news,rs41,Komi-Zyrian,Lattice,fiction,0.125
GMM,news,rs41,Moksha,JR,fiction,0.16534653465346535
GMM,news,rs41,Tamil,TTB,news,0.4660633484162896
GMM,news,rs41,Thai,PUD,news,0.5759394331086696
gold,news,rs41,Abaza,ATB,spoken,0.02607361963190184
gold,news,rs41,Albanian,TSA,wiki,0.7819956616052061
gold,news,rs41,Beja,NSC,spoken,0.019836639439906652
gold,news,rs41,Cantonese,HK,spoken,0.3508943407291565
gold,news,rs41,Chinese,PUD,news,0.4560820434906467
gold,news,rs41,Chukchi,HSE,spoken,0.12197909862834748
gold,news,rs41,Erzya,JR,fiction,0.15253097685140715
gold,news,rs41,Estonian,EDT,fiction,0.8571428571428571
gold,news,rs41,Estonian,EWT,social,0.7393654858443591
gold,news,rs41,Finnish,OOD,social,0.7424625559229722
gold,news,rs41,Finnish,TDT,fiction,0.8276358402302987
gold,news,rs41,Gheg,GPS,spoken,0.31444636678200694
gold,news,rs41,Indonesian,PUD,wiki,0.8235294117647058
gold,news,rs41,Irish,TwittIrish,social,0.4244152141514935
gold,news,rs41,Japanese,PUD,news,0.40705503512880564
gold,news,rs41,Japanese,PUD,wiki,0.3983073261042052
gold,news,rs41,Komi-Zyrian,IKDP,spoken,0.2148116067561715
gold,news,rs41,Komi-Zyrian,Lattice,fiction,0.13551051051051052
gold,news,rs41,Moksha,JR,fiction,0.15643564356435644
gold,news,rs41,Tamil,TTB,news,0.47762694821518353
gold,news,rs41,Thai,PUD,news,0.5830486566337365
GMM,wiki,rs41,Abaza,ATB,spoken,0.019938650306748466
GMM,wiki,rs41,Albanian,TSA,wiki,0.8297180043383948
GMM,wiki,rs41,Beja,NSC,spoken,0.01750291715285881
GMM,wiki,rs41,Cantonese,HK,spoken,0.37229987293519695
GMM,wiki,rs41,Chinese,PUD,news,0.644288291710189
GMM,wiki,rs41,Chukchi,HSE,spoken,0.13096015676028738
GMM,wiki,rs41,Erzya,JR,fiction,0.1615598885793872
GMM,wiki,rs41,Estonian,EDT,fiction,0.7828877005347593
GMM,wiki,rs41,Estonian,EWT,social,0.6347986911367193
GMM,wiki,rs41,Finnish,OOD,social,0.761330480451274
GMM,wiki,rs41,Finnish,TDT,fiction,0.8589420654911839
GMM,wiki,rs41,Gheg,GPS,spoken,0.3836505190311419
GMM,wiki,rs41,Indonesian,PUD,wiki,0.7353938185443669
GMM,wiki,rs41,Irish,TwittIrish,social,0.4504632929436921
GMM,wiki,rs41,Japanese,PUD,news,0.31974531615925056
GMM,wiki,rs41,Japanese,PUD,wiki,0.3313938111610685
GMM,wiki,rs41,Komi-Zyrian,IKDP,spoken,0.21827631009094847
GMM,wiki,rs41,Komi-Zyrian,Lattice,fiction,0.13475975975975976
GMM,wiki,rs41,Moksha,JR,fiction,0.13960396039603962
GMM,wiki,rs41,Tamil,TTB,news,0.37003519356460535
GMM,wiki,rs41,Thai,PUD,news,0.5433477979872587
gold,wiki,rs41,Abaza,ATB,spoken,0.023006134969325152
gold,wiki,rs41,Albanian,TSA,wiki,0.7982646420824295
gold,wiki,rs41,Beja,NSC,spoken,0.022170361726954493
gold,wiki,rs41,Cantonese,HK,spoken,0.35333789463395565
gold,wiki,rs41,Chinese,PUD,news,0.6474218972557212
gold,wiki,rs41,Chukchi,HSE,spoken,0.14369693011103854
gold,wiki,rs41,Erzya,JR,fiction,0.1546441264047642
gold,wiki,rs41,Estonian,EDT,fiction,0.7888464476699771
gold,wiki,rs41,Estonian,EWT,social,0.6410584720443875
gold,wiki,rs41,Finnish,OOD,social,0.7630811126240031
gold,wiki,rs41,Finnish,TDT,fiction,0.870456998920475
gold,wiki,rs41,Gheg,GPS,spoken,0.375
gold,wiki,rs41,Indonesian,PUD,wiki,0.7336989032901297
gold,wiki,rs41,Irish,TwittIrish,social,0.4181299812090974
gold,wiki,rs41,Japanese,PUD,news,0.29764344262295084
gold,wiki,rs41,Japanese,PUD,wiki,0.3165167944988098
gold,wiki,rs41,Komi-Zyrian,IKDP,spoken,0.22737115634473798
gold,wiki,rs41,Komi-Zyrian,Lattice,fiction,0.14977477477477477
gold,wiki,rs41,Moksha,JR,fiction,0.16732673267326734
gold,wiki,rs41,Tamil,TTB,news,0.3524384112619407
gold,wiki,rs41,Thai,PUD,news,0.5495337457298495
GMM,spoken,rs41,Abaza,ATB,spoken,0.03067484662576687
GMM,spoken,rs41,Albanian,TSA,wiki,0.7765726681127982
GMM,spoken,rs41,Beja,NSC,spoken,0.008168028004667444
GMM,spoken,rs41,Cantonese,HK,spoken,0.33398494770794646
GMM,spoken,rs41,Chinese,PUD,news,0.420757762795556
GMM,spoken,rs41,Chukchi,HSE,spoken,0.10597648595689092
GMM,spoken,rs41,Erzya,JR,fiction,0.15406781289021226
GMM,spoken,rs41,Estonian,EDT,fiction,0.7167303284950344
GMM,spoken,rs41,Estonian,EWT,social,0.5929719732536634
GMM,spoken,rs41,Finnish,OOD,social,0.6453997276794398
GMM,spoken,rs41,Finnish,TDT,fiction,0.7362360561353005
GMM,spoken,rs41,Gheg,GPS,spoken,0.32612456747404844
GMM,spoken,rs41,Indonesian,PUD,wiki,0.7418743768693918
GMM,spoken,rs41,Irish,TwittIrish,social,0.49970841702844554
GMM,spoken,rs41,Japanese,PUD,news,0.20001463700234193
GMM,spoken,rs41,Japanese,PUD,wiki,0.1930044961650357
GMM,spoken,rs41,Komi-Zyrian,IKDP,spoken,0.21957557384148982
GMM,spoken,rs41,Komi-Zyrian,Lattice,fiction,0.14564564564564564
GMM,spoken,rs41,Moksha,JR,fiction,0.15148514851485148
GMM,spoken,rs41,Tamil,TTB,news,0.3202614379084967
GMM,spoken,rs41,Thai,PUD,news,0.5523959006555258
gold,spoken,rs41,Abaza,ATB,spoken,0.03067484662576687
gold,spoken,rs41,Albanian,TSA,wiki,0.7592190889370932
gold,spoken,rs41,Beja,NSC,spoken,0.008168028004667444
gold,spoken,rs41,Cantonese,HK,spoken,0.32323331052683024
gold,spoken,rs41,Chinese,PUD,news,0.3961637071503181
gold,spoken,rs41,Chukchi,HSE,spoken,0.10924232527759634
gold,spoken,rs41,Erzya,JR,fiction,0.14196522908462203
gold,spoken,rs41,Estonian,EDT,fiction,0.7090909090909091
gold,spoken,rs41,Estonian,EWT,social,0.5915492957746479
gold,spoken,rs41,Finnish,OOD,social,0.6331453024703365
gold,spoken,rs41,Finnish,TDT,fiction,0.7322777977689816
gold,spoken,rs41,Gheg,GPS,spoken,0.33780276816608995
gold,spoken,rs41,Indonesian,PUD,wiki,0.7484546360917248
gold,spoken,rs41,Irish,TwittIrish,social,0.4984772889263267
gold,spoken,rs41,Japanese,PUD,news,0.18662177985948478
gold,spoken,rs41,Japanese,PUD,wiki,0.19168209468394604
gold,spoken,rs41,Komi-Zyrian,IKDP,spoken,0.205716760502382
gold,spoken,rs41,Komi-Zyrian,Lattice,fiction,0.10885885885885886
gold,spoken,rs41,Moksha,JR,fiction,0.13465346534653466
gold,spoken,rs41,Tamil,TTB,news,0.33534439416792355
gold,spoken,rs41,Thai,PUD,news,0.548425814790878
GMM,social,rs41,Abaza,ATB,spoken,0.0352760736196319
GMM,social,rs41,Albanian,TSA,wiki,0.789587852494577
GMM,social,rs41,Beja,NSC,spoken,0.040840140023337225
GMM,social,rs41,Cantonese,HK,spoken,0.3649692112207995
GMM,social,rs41,Chinese,PUD,news,0.48523407083847686
GMM,social,rs41,Chukchi,HSE,spoken,0.17847811887655127
GMM,social,rs41,Erzya,JR,fiction,0.16741907597733166
GMM,social,rs41,Estonian,EDT,fiction,0.7005347593582888
GMM,social,rs41,Estonian,EWT,social,0.5970977379428084
GMM,social,rs41,Finnish,OOD,social,0.6677689165531998
GMM,social,rs41,Finnish,TDT,fiction,0.7488305145735876
GMM,social,rs41,Gheg,GPS,spoken,0.36288927335640137
GMM,social,rs41,Indonesian,PUD,wiki,0.7470588235294118
GMM,social,rs41,Irish,TwittIrish,social,0.47009654636169246
GMM,social,rs41,Japanese,PUD,news,0.36080210772833726
GMM,social,rs41,Japanese,PUD,wiki,0.37146257603808513
GMM,social,rs41,Komi-Zyrian,IKDP,spoken,0.23733217843222174
GMM,social,rs41,Komi-Zyrian,Lattice,fiction,0.1602852852852853
GMM,social,rs41,Moksha,JR,fiction,0.1603960396039604
GMM,social,rs41,Tamil,TTB,news,0.4278531925590749
GMM,social,rs41,Thai,PUD,news,0.5679069338011264
gold,social,rs41,Abaza,ATB,spoken,0.03834355828220859
gold,social,rs41,Albanian,TSA,wiki,0.7928416485900217
gold,social,rs41,Beja,NSC,spoken,0.029171528588098017
gold,social,rs41,Cantonese,HK,spoken,0.3735705209656925
gold,social,rs41,Chinese,PUD,news,0.4919760706485614
gold,social,rs41,Chukchi,HSE,spoken,0.16051600261267146
gold,social,rs41,Erzya,JR,fiction,0.17164537508404573
gold,social,rs41,Estonian,EDT,fiction,0.7133689839572193
gold,social,rs41,Estonian,EWT,social,0.6074832835396216
gold,social,rs41,Finnish,OOD,social,0.6784672242754328
gold,social,rs41,Finnish,TDT,fiction,0.7563871896365599
gold,social,rs41,Gheg,GPS,spoken,0.3866782006920415
gold,social,rs41,Indonesian,PUD,wiki,0.727716849451645
gold,social,rs41,Irish,TwittIrish,social,0.4562301561588803
gold,social,rs41,Japanese,PUD,news,0.3564110070257611
gold,social,rs41,Japanese,PUD,wiki,0.3509653530811955
gold,social,rs41,Komi-Zyrian,IKDP,spoken,0.23040277176266782
gold,social,rs41,Komi-Zyrian,Lattice,fiction,0.13588588588588588
gold,social,rs41,Moksha,JR,fiction,0.18811881188118812
gold,social,rs41,Tamil,TTB,news,0.43036701860231275
gold,social,rs41,Thai,PUD,news,0.5686455544271074
